,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[190],0.94,0.678,-0.222,2.192,0.009,0.012,6350.0,2493.0,1.0
log_tau_participant_raw[191],0.154,0.609,-0.753,1.391,0.013,0.014,3414.0,2236.0,1.0
log_tau_participant_raw[192],0.035,0.644,-0.962,1.361,0.012,0.014,3701.0,2199.0,1.0
log_tau_participant_raw[193],0.538,0.653,-0.582,1.714,0.011,0.014,4712.0,2066.0,1.0
log_tau_participant_raw[194],-1.902,0.535,-2.938,-0.95,0.007,0.01,6222.0,2477.0,1.0
log_tau_participant_raw[195],-0.456,0.509,-1.329,0.545,0.01,0.015,3898.0,1545.0,1.0
log_tau_participant_raw[196],0.652,0.654,-0.476,1.855,0.009,0.012,5920.0,2654.0,1.0
log_tau_participant_raw[197],-0.031,0.497,-0.834,0.925,0.01,0.013,3626.0,1851.0,1.0
log_tau_participant_raw[198],-0.593,0.537,-1.459,0.426,0.012,0.02,3172.0,1271.0,1.0
log_tau_participant_raw[199],0.506,0.696,-0.738,1.752,0.011,0.013,4990.0,2504.0,1.0
log_tau_participant_raw[200],-0.412,0.623,-1.393,0.802,0.012,0.016,3795.0,2034.0,1.0
